ticker,official_name,cik,name,title
MMM,3M,66740,Michael F. Roman,chairman
MMM,3M,66740,William M. Brown,CEO
AOS,A. O. Smith,91142,Kevin J. Wheeler,"chairman , president & CEO"
ABT,Abbott Laboratories,1800,Robert B. Ford,chairman & CEO
ABT,Abbott Laboratories,1800,Robert Funck,EVP & CFO
ABBV,AbbVie,1551152,Richard A. Gonzalez,chairman
ABBV,AbbVie,1551152,Robert Michael,CEO
ACN,Accenture,1467373,Julie Sweet,chair and CEO
ADBE,Adobe Inc.,796343,Shantanu Narayen,chairman & CEO
AMD,Advanced Micro Devices,2488,Lisa Su,chair & CEO
AMD,Advanced Micro Devices,2488,Mark Papermaster,CTO
AES,AES Corporation,874761,Jay Morse,chairman
AES,AES Corporation,874761,Andres Gluski,president & CEO
AFL,Aflac,4977,Dan Amos,"chairman , CEO"
AFL,Aflac,4977,Max Broden,CFO
A,Agilent Technologies,1090872,Padraig McDonnell,CEO
A,Agilent Technologies,1090872,Mike McMullen,CEO until April 2024
A,Agilent Technologies,1090872,Koh Boon Hwee,chairman
APD,Air Products,2969,Eduardo F. Menezes,CEO
ABNB,Airbnb,1559720,Brian Chesky,CEO
ABNB,Airbnb,1559720,Nathan Blecharczyk,CSO
AKAM,Akamai Technologies,1086222,F. Thomson Leighton,CEO
AKAM,Akamai Technologies,1086222,Daniel Hesse,chairman
ALB,Albemarle Corporation,915913,Kent Masters,"chairman , president & CEO"
ALB,Albemarle Corporation,915913,Scott A. Tozier,CFO
ARE,Alexandria Real Estate Equities,1035443,Joel S. Marcus,chairman
ARE,Alexandria Real Estate Equities,1035443,Marc E. Binda,CFO
ALGN,Align Technology,1097149,Joe Hogan,president & CEO
ALGN,Align Technology,1097149,Karim Boussebaa,"EVP and MD , iTero Scanner and Services Business"
ALGN,Align Technology,1097149,John F. Morici,CFO
ALGN,Align Technology,1097149,Mitra Derakhshan,"SVP , Global Clinical"
ALLE,Allegion,1579241,Lauren Peters,chair
ALLE,Allegion,1579241,John Stone,CEO
ALL,Allstate,899051,Thomas J. Wilson,"chairman , president , and CEO"
GOOGL,Alphabet Inc. (Class A),1652044,John L. Hennessy,Chairman
GOOGL,Alphabet Inc. (Class A),1652044,Sundar Pichai,CEO
GOOGL,Alphabet Inc. (Class A),1652044,Ruth Porat,President and CIO
GOOGL,Alphabet Inc. (Class A),1652044,Anat Ashkenazi,CFO
GOOG,Alphabet Inc. (Class C),1652044,John L. Hennessy,Chairman
GOOG,Alphabet Inc. (Class C),1652044,Sundar Pichai,CEO
GOOG,Alphabet Inc. (Class C),1652044,Ruth Porat,President and CIO
GOOG,Alphabet Inc. (Class C),1652044,Anat Ashkenazi,CFO
MO,Altria,764180,Billy Gifford,chairman & CEO
AMZN,Amazon,1018724,Jeff Bezos,executive chairman
AMZN,Amazon,1018724,Andy Jassy,president and CEO
AMCR,Amcor,1748790,Peter Konieczny,CEO
AEE,Ameren,1002910,"Martin J. Lyons, Jr.","chairman , president & CEO"
AEE,Ameren,1002910,Mark C. Birk,Ameren Missouri chairman & president
AEE,Ameren,1002910,Leonard Singh,Ameren Illinois chairman & president
AEE,Ameren,1002910,Michael L. Moehn,Ameren Services chairman & president
AEE,Ameren,1002910,Shawn E. Schukar,Ameren Transmission chairman & president
AEP,American Electric Power,4904,Bill Fehrman,"chairman , president & CEO"
AXP,American Express,4962,Stephen Squeri,chairman & CEO
AXP,American Express,4962,Christophe Le Caillec,CFO
AIG,American International Group,5272,Peter Zaffino,chairman and CEO
AMT,American Tower,1053507,Steven Vondran,President and CEO
AMP,Ameriprise Financial,820027,James M. Cracchiolo,chairman & CEO
AMP,Ameriprise Financial,820027,Walter S. Berman,CFO
AMP,Ameriprise Financial,820027,Jeff Noddle,director
AMP,Ameriprise Financial,820027,Lon R. Greenberg,director
AME,Ametek,1037868,David A. Zapico,Chairman and CEO
AMGN,Amgen,318154,Robert A. Bradway,"chairman , president & CEO"
APH,Amphenol,820313,R. Adam Norwitt,president and CEO
ADI,Analog Devices,6281,Vincent Roche,chairman and CEO
ANSS,Ansys,1013462,Ronald Hovsepian,chairman
ANSS,Ansys,1013462,Ajei S. Gopal,president & CEO
AON,Aon plc,315293,Lester Knight,chairman
AON,Aon plc,315293,Eric Andersen,president
AON,Aon plc,315293,Greg Case,CEO
APA,APA Corporation,1841666,John J. Christmann IV,CEO
APO,Apollo Global Management,1858681,Marc Rowan,CEO
AAPL,Apple Inc.,320193,Tim Cook,CEO
AAPL,Apple Inc.,320193,Arthur Levinson,chairman
AMAT,Applied Materials,6951,Gary E. Dickerson,President & CEO
AMAT,Applied Materials,6951,Thomas J. Iannotti,Chairman
APTV,Aptiv,1521332,Kevin P. Clark,chairman and CEO
ACGL,Arch Capital Group,947484,John M. Pasquesi,Chair
ACGL,Arch Capital Group,947484,Nicolas Papadopoulo,CEO
ACGL,Arch Capital Group,947484,David Gansberg,President
ACGL,Arch Capital Group,947484,Maamoun Rajeh,President
ACGL,Arch Capital Group,947484,François Morin,CFO
ACGL,Arch Capital Group,947484,Paul Ingrey,former Chair and CEO
ACGL,Arch Capital Group,947484,Arch Reinsurance Dinos Iordanou,"former Chair, President and CEO"
ADM,Archer Daniels Midland,7084,Juan Luciano,chairman and CEO
